1,rhyolite,1,1,0.498039
2,chloritic schist,0.419608,1,0.419608
3,mafic volcanics,1,0.333333,1
4,mafic dykes,1,0.666667,0.498039
5,host mafic,0.333333,0.666667,0.498039
6,basalt,0.560784,0.282353,0
7,ore,1,0,0
